term,score
food,217.9103275100788
good,205.15691245830865
place,201.17860557423384
great,192.0125067226604
time,148.33538998106252
like,143.94203278316127
service,143.77765770659371
really,125.54012291664597
nice,101.59031912436724
love,101.31113041658213
best,100.38116447108104
order,97.94058624549213
ive,97.11689996835612
dont,96.62084197511291
ordered,96.24194051170895
chicken,95.92265598880894
staff,92.46045104606682
restaurant,89.90594917269024
friendly,88.42113164209282
delicious,88.30976690613585
little,88.06767401170654
try,87.00583322702614
came,85.76946575388125
didnt,85.6125019965143
definitely,84.23238787022089
menu,83.49261168653354
went,82.10639249345913
bar,80.83485556601111
pizza,79.01854039627626
amazing,77.62400526010406
new,76.57819607874386
wait,75.99237593893099
make,75.72291675248435
people,75.47033892528837
experience,75.3789098325217
come,75.03532982109914
pretty,74.96779456888113
better,74.24532674756891
fresh,71.00705149754276
night,70.37008538731813
way,69.15327364827635
cheese,69.0011216254296
area,67.97335733699963
sauce,67.86540342023659
day,67.5161047301283
going,67.0249387127257
know,66.92291854165761
room,66.82340952687694
lunch,66.62102483036821
recommend,64.76019593629117
eat,64.7208713059279
want,64.58545163911127
say,63.97285577180252
table,63.82295877820754
burger,63.80940412064553
right,63.680308064348026
location,63.40881064339897
sure,61.40270495955598
think,61.17891050188773
minutes,60.735915741907746
times,60.68812800708406
fries,60.63918873010038
beer,60.49673384838349
salad,60.1064201027156
meal,60.06572179398792
said,59.73573019107252
small,58.675413037081256
wasnt,58.62726582429528
bit,58.515826844850544
tried,57.957899277277924
coffee,57.13922739069746
breakfast,56.91172585388869
dinner,56.809315840894165
worth,56.602677305936204
took,56.330246174713025
price,56.155661442548826
bad,55.96453778419898
excellent,55.124287110168126
lot,54.53218780599167
drinks,54.25372548367106
happy,53.845269625153634
told,53.51340150066669
long,53.40876156919993
awesome,53.14472369981047
asked,52.995322955286646
sandwich,52.57382700934743
hot,52.50712929552059
work,51.835009765951924
clean,51.278765165417326
looking,51.22508406382575
home,49.999126353635674
stars,49.58968517985241
youre,49.241734203056566
fried,48.95555449801554
sweet,48.814783410979736
atmosphere,48.77251984736085
hotel,48.336597896888534
shrimp,48.154258706131024
prices,47.98061928484237
favorite,47.85971966978097
super,47.401749283210385
wanted,47.34514098547735
visit,47.070480717232236
years,46.9561577647342
sushi,46.672867414448945
feel,46.44126367569563
hour,46.29136434345358
different,45.92610389569103
drink,45.59678481541353
places,45.18741214149769
quality,45.14651011398522
perfect,45.090868070071814
taste,45.06597085303982
big,44.795818887056974
store,44.77183918030979
need,44.59976221560556
server,44.51788146716588
check,44.07169635113642
friends,43.98849560253239
spot,43.772813083963385
thing,43.74636823846423
special,43.67843179590681
tasty,43.436615381152684
bread,42.8492500178193
selection,42.81570265432649
left,42.42296573785001
away,42.24266768086798
things,42.196398328282
items,41.764724293289746
flavor,41.58637360944937
car,41.08003585091043
loved,40.887427162134884
free,40.25584540678897
customer,40.02718313864305
enjoyed,39.70534698025969
meat,39.56806607694687
overall,39.54474114360946
waitress,39.48219818327558
family,39.36047088320137
coming,39.32897638333466
probably,39.30346798985542
husband,39.079817386455176
rice,38.86723445151995
busy,38.66776589249965
wine,38.45654617908906
wonderful,38.30838471776937
line,38.292477876511306
huge,38.25837777664982
look,38.23808579951967
friend,38.08287315064146
getting,38.07617014042779
fun,37.8872146606304
gave,37.87931124419953
half,37.75452939401594
kind,37.68855343461167
thats,37.653598363662375
highly,37.53513070079822
large,37.38702678178994
ill,37.211205278206485
disappointed,37.102125778174155
old,36.91619660929274
outside,36.80868750410406
enjoy,36.74119134778245
soup,36.63154341141387
called,36.59463109748691
fish,36.507657518554154
used,36.35194732088308
dish,36.337904414196295
quite,36.246152489069566
town,36.17406630599323
quick,36.156018389222055
ask,35.95157685057342
fantastic,35.82784607797229
review,35.61274978554865
reviews,35.57625273437783
restaurants,35.49298776949624
spicy,35.40220000512281
cooked,35.39444389069253
served,35.36547843836893
steak,35.30346134059424
helpful,35.28949583529292
city,35.180589791706424
usually,35.17162129508589
far,35.040574037007445
thought,34.99680227217284
options,34.95062224962834
maybe,34.913526573801114
parking,34.912435851921614
cream,34.86148224386723
tables,34.81072781713623
house,34.7061599040571
fast,34.485479029247415
stay,34.382467588818194
pork,34.33868598613409
local,34.309941568934654
decided,34.10724839863244
hair,34.09844657361381
street,34.01971795179379
walked,33.96191608600595
absolutely,33.93051347275092
decent,33.74087923132241
beef,33.720960435006695
actually,33.57038103903581
tacos,33.37824002244382
tasted,33.33658838841497
let,33.267616864019274
inside,33.03589315769295
extremely,33.00708322550268
dishes,32.92160778902585
roll,32.867080459994334
star,32.798788873825046
high,32.70318886078559
week,32.692231866171056
looked,32.61281232090473
ice,32.5898185190755
shop,32.557318550520094
bacon,32.215442559955584
business,32.18144584432285
wont,32.17438589938137
open,32.12290952018136
wife,32.03740491943459
hours,31.995667236136715
live,31.96629079647256
music,31.774616747567524
cool,31.674297319281003
waiting,31.660744333125074
stop,31.612838179528744
wings,31.44611038932011
group,31.433573793580535
hard,31.398484516581423
couple,31.358049257437834
care,31.344899614005158
needed,31.307033620174735
trying,31.267813887067526
owner,31.25532131836318
manager,31.231706202801448
cold,31.171092971901135
waiter,30.76125795755577
today,30.752067021585926
kids,30.653502729602934
brunch,30.590588550664126
crab,30.57209162392609
return,30.488866796213102
bring,30.365130027807865
pay,30.36127585473537
cake,30.265337641375947
dining,30.18954913072453
eating,30.121923786710315
french,29.948806197038202
especially,29.912562999065575
second,29.81237285283321
job,29.763988958312225
seated,29.732751420468812
felt,29.54476428546703
water,29.4056175170301
walk,29.389182939926314
use,29.37041014283907
party,29.197968155331708
door,29.035212491281154
plate,28.968877108404467
attentive,28.967959121474504
finally,28.945869567242188
red,28.81274128602614
money,28.788682228510993
tell,28.749808989351425
able,28.571858813593728
seating,28.527706291388956
close,28.354610503535504
sit,28.323757304627705
year,28.306009782467886
reason,28.20716049500046
theres,28.17741284948909
makes,28.171844987055458
beautiful,28.05261090202557
extra,27.977334539081124
waited,27.940064102472515
dessert,27.841983914158742
isnt,27.805717116740063
tea,27.77483740571728
sat,27.63103260740904
wish,27.510644309898236
real,27.362519669793734
brought,27.271157957089336
size,27.22447864077958
chocolate,27.179756836709494
wrong,27.12364638601911
end,26.840617892009433
instead,26.575952454815507
arrived,26.56419019943615
doesnt,26.52744219450313
kitchen,26.388628808071697
late,26.243295582008866
eggs,26.13165982223549
cut,26.10420687098533
ate,26.096665720617125
person,26.059186211925983
customers,25.830521261580806
stopped,25.794301358398975
later,25.741348797200956
bbq,25.71281831427023
guy,25.634081175831014
offer,25.621238534320664
philly,25.346938615082262
reasonable,25.32621362232175
started,25.285875593941288
wouldnt,25.172709912348285
days,25.08185333760311
fine,25.019924575107527
thai,24.97296778320011
fan,24.956173402627215
perfectly,24.90580244070206
dry,24.864809205770932
mexican,24.804385121394265
beers,24.78562158482518
yelp,24.716359137677863
comes,24.689603364033985
